catergory,title,date,time,where,url
"축제,행사",두산청소년아트스쿨2018 ,2018.07.07~2018.08.04,(토) 오전 10시 / 7.21 제외 ,경기도두산아트센터 연강홀 ,https://www.ggcf.or.kr
"축제,행사",2018토요키즈클래식 ,2018.07.07~2018.11.17,(토) 오후 2시 ,경기도용인여성회관 ,https://www.ggcf.or.kr
"축제,행사",관현악의 밤 ,2018.07.05~2018.07.05,(목) 오후7시30분 ,경기도용인포은아트홀 ,https://www.ggcf.or.kr
"축제,행사",prize ,2018.07.04~2018.07.14,"(목, 금) 오후 4시 / (토) 오전 11시, 오후 2시 ",경기도복사골문화센터 ,https://www.ggcf.or.kr
"축제,행사",행궁동 벽화골목 투어 오프닝 기념행사 ,2018.06.30~2018.06.30,(토) 오후 12시 ,경기도대안공간 눈 ,https://www.ggcf.or.kr
"축제,행사",청춘마이크 & 박고은 가야금 연주회 ,2018.06.30~2018.06.30,(토) 오후 3시 ,경기도대안공간 눈 ,https://www.ggcf.or.kr
"축제,행사",굿 힐링 페스티벌-소원을 말해봐 ,2018.07.03~2018.07.08,"(화, 수, 목, 금) 오후 7시 30분 / (토) 오후 5시 / (일) 오후 3시 ",경기도서울돈화문국악당 ,https://www.ggcf.or.kr
"축제,행사",혁오 콘서트 ,2018.06.30~2018.07.01,(토) 오후 6시 / (일) 오후 5시 ,경기도블루스퀘어 ,https://www.ggcf.or.kr
"축제,행사",서크 엘루아즈 《서커폴리스》 ,2018.07.05~2018.07.08,"(목, 금) 어후 8시 / (토) 오후 2시, 7시 / (일) 오후 3시 ",경기도LG아트센터 ,https://www.ggcf.or.kr
"축제,행사",제1회 예술 도시;락 ,2018.06.30~2018.10.27,(토) 오전 11시 ,경기도고양어린이박물관 ,https://www.ggcf.or.kr
"축제,행사",보고 또 보고 ,2018.07.07~2018.07.07,(토) 오후 5시 ,경기도부천시민회관 ,https://www.ggcf.or.kr
"축제,행사",2018 경기인형극제 in수원 ,2018.07.05~2018.07.22,공연에 따라 다름 ,"경기도경기문화재단 다산홀, 수원SK아트리움, 경기상상캠퍼스 ",https://www.ggcf.or.kr
"축제,행사",7월 조윤범의 파워클래식 <프랑스 세계여행> ,2018.07.25~2018.07.25,(수) 오후 19시 ,경기도동탄복합문화센터 반석아트홀 ,https://www.ggcf.or.kr
"축제,행사",7월 브런치 콘서트 <어느멋진날 - 오페라퀸즈> ,2018.07.24~2018.07.24,(화) 오전 11시 ,경기도동탄복합문화센터 반석아트홀 ,https://www.ggcf.or.kr
"축제,행사",홍지민 'Loving the Musicial' ,2018.06.30~2018.06.30,19시 ,경기도동탄복합문화센터 야외공연장 ,https://www.ggcf.or.kr
"축제,행사",무한동력 ,2018.04.24~2018.07.01,"(화, 수, 목, 금) 오후 8시 / (주말, 공휴일) 오후 2시30분, 6시 ",경기도충무아트센터 ,https://www.ggcf.or.kr
"축제,행사",국경의 남쪽 ,2018.06.29~2018.07.15,"(토) 오후 3시, 7시 / (일) 오후 2시, 6시 ",경기도두산아트센터 ,https://www.ggcf.or.kr
"축제,행사",2018 치매극복 실버합창대회 ,2018.06.20~2018.08.05,2018.09.20.(목) 본선대회 ,경기도세종대학교 광게토관 컨벤션홀 ,https://www.ggcf.or.kr
"축제,행사",광주시립발레단 <백조의 호수> ,2018.07.21~2018.07.21,(토) 오후 4시 ,경기도의정부예술의전당 ,https://www.ggcf.or.kr
"축제,행사","[아름다운 목요일 윤홍천, 친애하는 모차르트] 윤홍천 Piano (I) ",2018.07.12~2018.07.12,(목) 오후 8시 ,경기도금호아트홀 ,https://www.ggcf.or.kr
"축제,행사",2018 부평뮤직데이 DAY2 <사운드 스트리트> ,2018.06.30~2018.06.30,(토) 오후 2시 ,"경기도부평 지하상가 중앙홀, 부평문화의거리 분수대, 창고 재즈펍, 부평 씽크빅 문고 ",https://www.ggcf.or.kr
"축제,행사",[세종문화회관]2018 여름특강 수강생 모집 ,2018.07.27~2018.08.16,포스터 참고 ,경기도세종문화회관 ,https://www.ggcf.or.kr
"축제,행사",2018 부평생활문화센터 공감168 생활문화추진단 <시:믐> 모집 ,2018.06.20~2018.07.07,포스터 참고 ,경기도부평생활문화센터 ,https://www.ggcf.or.kr
"축제,행사",[종로문화재단]윤동주문학관 6월 감성문화콘서트 ,2018.06.30~2018.06.30,(토) 오후 7시 ,경기도윤동주문학관 시인의언덕 ,https://www.ggcf.or.kr
"축제,행사",인천아트플랫폼 기획공연 IAP 콜라보 스테이지 ,2018.07.07~2018.10.20,(토) 오후 4시 ,경기도인천아트플랫폼 ,https://www.ggcf.or.kr
"축제,행사",2018 마스터피스 시리즈 Ⅰ ,2018.07.14~2018.07.14,(토) 오후 5시 ,"경기도고양문화재단 (고양아람누리, 고양어울림누리) ",https://www.ggcf.or.kr
"축제,행사",두산청소년아트스쿨2018 ,2018.07.07~2018.08.04,(토) 오전 10시 / 7.21 제외 ,경기도두산아트센터 연강홀 ,https://www.ggcf.or.kr
"축제,행사",관현악의 밤 ,2018.07.05~2018.07.05,(목) 오후7시30분 ,경기도용인포은아트홀 ,https://www.ggcf.or.kr
"축제,행사",행궁동 벽화골목 투어 오프닝 기념행사 ,2018.06.30~2018.06.30,(토) 오후 12시 ,경기도대안공간 눈 ,https://www.ggcf.or.kr
"축제,행사",청춘마이크 & 박고은 가야금 연주회 ,2018.06.30~2018.06.30,(토) 오후 3시 ,경기도대안공간 눈 ,https://www.ggcf.or.kr
"뮤지컬,연극",보고 또 보고 ,2018.07.07~2018.07.07,(토) 오후 5시 ,경기도부천시민회관 ,https://www.ggcf.or.kr
"축제,행사",2018 경기인형극제 in수원 ,2018.07.05~2018.07.22,공연에 따라 다름 ,"경기도경기문화재단 다산홀, 수원SK아트리움, 경기상상캠퍼스 ",https://www.ggcf.or.kr
"뮤지컬,연극",홍지민 'Loving the Musicial' ,2018.06.30~2018.06.30,19시 ,경기도동탄복합문화센터 야외공연장 ,https://www.ggcf.or.kr
기타,2018 치매극복 실버합창대회 ,2018.06.20~2018.08.05,2018.09.20.(목) 본선대회 ,경기도세종대학교 광게토관 컨벤션홀 ,https://www.ggcf.or.kr
"축제,행사",2018 부평뮤직데이 DAY2 <사운드 스트리트> ,2018.06.30~2018.06.30,(토) 오후 2시 ,"경기도부평 지하상가 중앙홀, 부평문화의거리 분수대, 창고 재즈펍, 부평 씽크빅 문고 ",https://www.ggcf.or.kr
"축제,행사",[종로문화재단]윤동주문학관 6월 감성문화콘서트 ,2018.06.30~2018.06.30,(토) 오후 7시 ,경기도윤동주문학관 시인의언덕 ,https://www.ggcf.or.kr
"축제,행사",인천아트플랫폼 기획공연 IAP 콜라보 스테이지 ,2018.07.07~2018.10.20,(토) 오후 4시 ,경기도인천아트플랫폼 ,https://www.ggcf.or.kr
"뮤지컬,연극",《실학연극소풍》 새.꿈.아 ,2018.07.14~2018.07.16,(토) 오후 3시 / (월) 오후 2시 30분 ,경기도실학박물관 ,https://www.ggcf.or.kr
"뮤지컬,연극",판소리동화시리즈 안데르센 ,2018.08.09~2018.08.11,"(목, 금) 오전 11시, 오후 3시 / (토) 오후 2시, 5시 ",경기도서울남산국악당 ,https://www.ggcf.or.kr
"뮤지컬,연극",애도하는 사람 悼む人 ,2018.06.12~2018.07.07,"(화~금) 오후 8시 / (토) 오후 3시,7시 / (일) 오후 4시 ",경기도두산아트센터 space111 ,https://www.ggcf.or.kr
"뮤지컬,연극",모차르트의 마법 바이올린 ,2018.07.11~2018.07.14,"(수, 목, 금) 오전 11시 / (토) 오전 11시, 오후 3시 ",경기도종로아이들극장 ,https://www.ggcf.or.kr
"뮤지컬,연극",금난새 클래식판타지아 Shiny Sunday ,2018.07.01~2018.07.01,(일) 오후 5시 ,경기도충무아트센터 ,https://www.ggcf.or.kr
"뮤지컬,연극",2018년 6월 소확행 토요문화마당 ,2018.06.09~2018.06.30,(토) 오후 7시 ,경기도용흥궁 ,https://www.ggcf.or.kr
"뮤지컬,연극",인천향교 달빛공감음악회 ,2018.06.15~2018.10.05,(금) 오후 7시 30분 ,경기도인천향교 ,https://www.ggcf.or.kr
"뮤지컬,연극",2018 키우피우 인형극축제 ,2018.06.21~2018.07.07,"(토) 오전11시, 오후 3시 ",경기도종로아이들극장 ,https://www.ggcf.or.kr
"뮤지컬,연극",붉은 정원 ,2018.06.29~2018.07.29,"(화~금) 오후 8시 / (토) 오후 3시, 7시 / (일) 2시, 오후 6시 ",경기도CJ아지트 ,https://www.ggcf.or.kr
"뮤지컬,연극",밤에피리;귀를 사로잡는 밤소리와 조합 ,2018.06.29~2018.07.01,(금) 오후 8시 / (토) 오후 5시 / (일) 오후 5시 ,경기도꿈의숲아트센터 ,https://www.ggcf.or.kr
"뮤지컬,연극","아리랑, 삶의노래 은평이야기 ",2018.06.30~2018.06.30,(토) 오후 4시 ,경기도은평문화예술회관 ,https://www.ggcf.or.kr
"뮤지컬,연극",《실학연극소풍》 새.꿈.아 ,2018.07.14~2018.07.16,(토) 오후 3시 / (월) 오후 2시 30분 ,경기도실학박물관 ,https://www.ggcf.or.kr
"뮤지컬,연극",애도하는 사람 悼む人 ,2018.06.12~2018.07.07,"(화~금) 오후 8시 / (토) 오후 3시,7시 / (일) 오후 4시 ",경기도두산아트센터 space111 ,https://www.ggcf.or.kr
"축제,행사",2018년 6월 소확행 토요문화마당 ,2018.06.09~2018.06.30,(토) 오후 7시 ,경기도용흥궁 ,https://www.ggcf.or.kr
"축제,행사",인천향교 달빛공감음악회 ,2018.06.15~2018.10.05,(금) 오후 7시 30분 ,경기도인천향교 ,https://www.ggcf.or.kr
"축제,행사",[종로문화재단] 무계원 <가무별감 박춘재의 황제를 위한 콘서트 5> ,2018.06.16~2018.07.07,(토) 오후 5시 30분 ,경기도무계원 ,https://www.ggcf.or.kr
"축제,행사","2018년 2,3차 군포아트마켓 ",2018.05.26~2018.06.30,(토) 오전 10시 ,경기도군포 문화의거리 ,https://www.ggcf.or.kr
"축제,행사",예술의전당 싹페스타(SAC FESTA) 안내 ,2018.05.05~2018.09.29,(토) 오후 6시 30분 ,경기도예술의전당 ,https://www.ggcf.or.kr
"축제,행사","2018문화가 있는 날, 윤동주문학관 [감성문화 콘서트] ",2018.05.26~2018.09.29,(토) 오후 7시 ,경기도윤동주문학관(시인의 언덕) ,https://www.ggcf.or.kr
"축제,행사",충무로 뮤지컬 영화제 ,2018.07.06~2018.07.15,,경기도충무아트센터 ,https://www.ggcf.or.kr
"축제,행사",2018 안양 돗자리영화관 ,2018.05.19~2018.08.25,(토) 오후 7시 30분 ,경기도병목안시민공원 ,https://www.ggcf.or.kr
